type,value,category,source,first_seen,last_seen,hits,detail
ip,109.160.32.38,ssh-bruteforce/ssh-post-auth/ssh-probe,ssh,2026-09-11T13:14:20,2026-09-11T13:53:07,2427,
ip,109.160.32.10,ssh-bruteforce/ssh-post-auth/ssh-probe,ssh,2026-09-11T00:52:37,2026-09-12T00:20:12,2107,
ip,109.160.32.39,ssh-bruteforce/ssh-post-auth/ssh-probe,ssh,2026-09-10T06:34:43,2026-09-10T07:17:14,1501,
ip,34.16.155.149,decoy-harvester/http-scan,http,2026-09-12T16:54:54,2026-09-12T16:56:25,1494,
ip,109.160.32.16,ssh-bruteforce/ssh-probe,ssh,2026-09-10T10:24:41,2026-09-10T11:07:49,1001,
ip,109.160.32.46,ssh-bruteforce/ssh-probe,ssh,2026-09-10T11:08:50,2026-09-10T11:50:07,1001,
ip,109.160.32.20,ssh-bruteforce/ssh-probe,ssh,2026-09-10T11:14:44,2026-09-10T12:12:12,1001,
ip,109.160.32.120,ssh-bruteforce/ssh-probe,ssh,2026-09-11T02:22:56,2026-09-11T03:07:46,1001,
ip,109.160.32.43,ssh-bruteforce/ssh-probe,ssh,2026-09-11T16:55:49,2026-09-11T17:36:32,1001,
ip,109.160.32.104,ssh-bruteforce/ssh-probe,ssh,2026-09-11T21:40:56,2026-09-11T22:33:39,1001,
ip,109.160.32.36,ssh-bruteforce/ssh-probe,ssh,2026-09-10T20:32:38,2026-09-10T21:31:32,933,
ip,154.18.197.29,ssh-bruteforce/ssh-post-auth/ssh-probe,ssh,2026-09-10T04:41:55,2026-09-10T08:17:53,459,
ip,62.171.133.1,ssh-bruteforce/ssh-malware-drop/ssh-post-auth/ssh-probe,ssh,2026-09-10T09:39:07,2026-09-12T17:30:55,406,
ip,195.178.110.232,ssh-bruteforce/ssh-post-auth/ssh-probe,ssh,2026-09-11T09:18:31,2026-09-11T11:48:56,325,
ip,2.57.122.238,ssh-bruteforce/ssh-post-auth/ssh-probe,ssh,2026-09-11T05:50:04,2026-09-11T06:47:41,317,
ip,195.178.110.218,ssh-bruteforce/ssh-probe,ssh,2026-09-10T14:30:38,2026-09-10T18:31:21,311,
ip,51.15.25.116,ssh-bruteforce/ssh-post-auth/ssh-probe,ssh,2026-09-10T04:41:06,2026-09-12T13:08:45,222,
ip,116.74.164.106,ssh-bruteforce/ssh-post-auth/ssh-probe,ssh,2026-09-10T04:42:11,2026-09-10T06:51:11,216,
ip,103.149.86.208,ssh-bruteforce/ssh-probe,ssh,2026-09-10T12:30:02,2026-09-10T13:39:50,201,
ip,49.248.197.50,ssh-bruteforce/ssh-post-auth/ssh-probe,ssh,2026-09-10T04:40:52,2026-09-10T06:51:31,198,
ip,47.94.57.108,ssh-bruteforce/ssh-probe,ssh,2026-09-10T20:04:02,2026-09-10T21:08:26,191,
ip,2.57.122.53,ssh-bruteforce/ssh-probe,ssh,2026-09-10T16:15:07,2026-09-10T20:15:25,185,
ip,120.53.15.79,ssh-bruteforce/ssh-probe,ssh,2026-09-10T21:21:25,2026-09-10T23:46:28,184,
ip,49.235.98.218,ssh-bruteforce/ssh-probe,ssh,2026-09-10T16:11:55,2026-09-10T18:27:04,180,
ip,54.76.45.192,decoy-harvester/research-scanner/ssh-probe,http+ssh,2026-09-11T00:57:39,2026-09-12T17:28:13,162,
ip,54.74.13.161,decoy-harvester/http-scan/ssh-probe,http+ssh,2026-09-12T17:27:40,2026-09-12T17:28:28,161,
ip,92.118.39.71,ssh-bruteforce/ssh-probe,ssh,2026-09-11T20:30:35,2026-09-12T08:49:45,144,
ip,92.118.39.50,ssh-bruteforce/ssh-probe,ssh,2026-09-10T20:53:04,2026-09-10T23:29:59,141,
ip,195.178.110.217,ssh-bruteforce/ssh-post-auth/ssh-probe,ssh,2026-09-11T08:30:26,2026-09-12T02:49:57,122,
ip,171.231.194.253,ssh-bruteforce/ssh-probe,ssh,2026-09-11T10:32:35,2026-09-11T11:03:31,120,
ip,193.32.162.84,ssh-bruteforce/ssh-post-auth/ssh-probe,ssh,2026-09-12T03:04:44,2026-09-12T03:47:56,104,
ip,112.126.62.31,ssh-bruteforce/ssh-probe,ssh,2026-09-12T04:40:13,2026-09-12T06:34:30,97,
ip,139.129.24.29,ssh-bruteforce/ssh-probe,ssh,2026-09-12T07:53:52,2026-09-12T08:24:23,92,
ip,92.118.39.14,ssh-bruteforce/ssh-post-auth/ssh-probe,ssh,2026-09-10T04:41:53,2026-09-12T16:18:47,83,
ip,2.57.122.209,ssh-bruteforce/ssh-probe,ssh,2026-09-10T09:10:50,2026-09-12T12:53:41,68,
ip,161.118.206.157,decoy-harvester/http-scan,http,2026-09-11T22:04:19,2026-09-11T22:04:21,62,
ip,92.118.39.49,ssh-bruteforce/ssh-probe,ssh,2026-09-11T02:20:21,2026-09-11T17:59:46,60,
ip,192.42.116.114,ssh-bruteforce/ssh-post-auth/ssh-probe,ssh,2026-09-12T05:32:07,2026-09-12T05:35:52,58,
ip,2.57.121.25,ssh-bruteforce/ssh-probe,ssh,2026-09-10T04:42:37,2026-09-12T16:46:36,56,
